                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.37373,                  3.149,                0.50387,                0.30703,                0.88308,                0.99874,                      1,                  0.995,                0.99383,                0.86069,                0.86111,                0.86637,                0.32835,                0.31574,                 3.3628,                0.22807,                0.30456,                0.89206,              0.0016832,              0.0016832,              0.0016832
                     34,                0.32421,                 3.1033,                0.56488,                0.29787,                0.89139,                0.99894,                      1,                  0.995,                0.98665,                0.99894,                      1,                  0.995,                0.55232,                0.26586,                 2.4559,                0.26094,                0.22041,                 0.8901,              0.0016733,              0.0016733,              0.0016733
                     35,                0.32284,                  2.786,                0.53142,                 0.2881,                0.88141,                 0.9992,                      1,                  0.995,                0.93044,                 0.9992,                      1,                  0.995,                0.66132,                0.30714,                 1.9461,                0.27775,                0.25278,                0.91096,              0.0016634,              0.0016634,              0.0016634
                     36,                0.34437,                 3.0709,                0.53364,                0.29126,                0.87931,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.60331,                0.27128,                 1.9194,                0.25914,                 0.2035,                0.86227,              0.0016535,              0.0016535,              0.0016535
                     37,                0.32048,                 2.5294,                0.50262,                0.29067,                0.89636,                0.99926,                      1,                  0.995,                0.98539,                0.99926,                      1,                  0.995,                0.72191,                0.24625,                 1.4251,                 0.2702,                0.20781,                0.86911,              0.0016436,              0.0016436,              0.0016436
                     38,                0.29907,                 2.4744,                0.53317,                 0.2786,                 0.8947,                0.99925,                      1,                  0.995,                0.98884,                0.99925,                      1,                  0.995,                0.66141,                0.28239,                  1.568,                0.26822,                0.22911,                0.88619,              0.0016337,              0.0016337,              0.0016337
                     39,                 0.3154,                 2.4317,                0.55476,                0.28396,                0.90127,                0.99923,                      1,                  0.995,                0.94969,                0.97148,                0.97222,                 0.9729,                0.23695,                0.25939,                 2.7512,                 0.2382,                0.25023,                0.85552,              0.0016238,              0.0016238,              0.0016238
                     40,                 0.3567,                 2.1808,                0.50268,                 0.2786,                0.88886,                0.99927,                      1,                  0.995,                0.95449,                0.99927,                      1,                  0.995,                0.74642,                 0.2726,                 1.1208,                0.26068,                0.25609,                0.86851,              0.0016139,              0.0016139,              0.0016139
                     41,                0.29642,                 2.2434,                0.52715,                0.26091,                0.88332,                0.99927,                      1,                  0.995,                0.97742,                0.99927,                      1,                  0.995,                0.74598,                0.23347,                 1.1206,                0.26181,                0.24621,                0.86507,               0.001604,               0.001604,               0.001604
                     42,                0.34279,                 2.2557,                0.50747,                0.26749,                 0.8875,                0.99927,                      1,                  0.995,                  0.995,                0.99927,                      1,                  0.995,                0.59357,                0.21477,                 1.6598,                0.25641,                0.17868,                0.85969,              0.0015941,              0.0015941,              0.0015941
                     43,                0.32883,                 2.0715,                0.51722,                0.27337,                0.90573,                0.99928,                      1,                  0.995,                  0.995,                0.99928,                      1,                  0.995,                0.63439,                0.22939,                 1.4495,                0.26467,                0.18768,                0.85969,              0.0015842,              0.0015842,              0.0015842
                     44,                0.29651,                 1.8242,                0.52321,                  0.252,                0.88211,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.72993,                0.18668,                 1.0585,                0.26846,                0.16633,                0.85182,              0.0015743,              0.0015743,              0.0015743
                     45,                0.33204,                 2.1258,                0.52331,                0.26362,                0.92356,                0.99921,                      1,                  0.995,                0.99031,                0.99921,                      1,                  0.995,                0.67056,                 0.2477,                 1.4295,                0.27549,                0.20405,                0.89919,              0.0015644,              0.0015644,              0.0015644
                     46,                0.33886,                 2.0435,                0.49963,                0.25921,                0.92584,                0.99916,                      1,                  0.995,                0.98603,                0.99916,                      1,                  0.995,                0.68557,                0.23003,                 1.4049,                0.30478,                0.19298,                0.90863,              0.0015545,              0.0015545,              0.0015545
                     47,                0.33846,                 2.0353,                0.49155,                0.27575,                0.87795,                0.99913,                      1,                  0.995,                0.98825,                0.99913,                      1,                  0.995,                0.67761,                 0.2553,                 1.3779,                0.31974,                0.17908,                0.88237,              0.0015446,              0.0015446,              0.0015446
                     48,                0.31811,                 1.9333,                0.48537,                0.27242,                0.88266,                0.99918,                      1,                  0.995,                  0.995,                0.99918,                      1,                  0.995,                0.79613,                0.25997,                 1.0683,                0.31893,                0.17829,                0.87955,              0.0015347,              0.0015347,              0.0015347
                     49,                 0.3307,                 1.7509,                0.51505,                0.26374,                0.87592,                0.99918,                      1,                  0.995,                  0.995,                0.99918,                      1,                  0.995,                0.48661,                0.25978,                 2.0388,                0.29726,                0.18987,                0.86767,              0.0015248,              0.0015248,              0.0015248
                     50,                0.33496,                 1.8058,                0.48166,                0.27659,                0.87604,                 0.9992,                      1,                  0.995,                0.98997,                 0.9992,                      1,                  0.995,                0.58224,                0.22332,                 1.8828,                0.29642,                 0.1792,                0.86207,              0.0015149,              0.0015149,              0.0015149
                     51,                0.30943,                 2.0653,                0.52118,                0.26053,                0.90523,                0.99909,                      1,                  0.995,                0.93208,                0.99909,                      1,                  0.995,                0.79685,                0.24029,                0.99842,                0.31734,                0.20105,                0.86621,               0.001505,               0.001505,               0.001505
                     52,                0.34089,                 1.8412,                0.48533,                0.30247,                0.90213,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.66226,                0.26121,                 1.3584,                0.32714,                0.23588,                0.89746,              0.0014951,              0.0014951,              0.0014951
                     53,                 0.2776,                 1.6933,                0.49623,                 0.2509,                0.89589,                0.99925,                      1,                  0.995,                0.99131,                0.99925,                      1,                  0.995,                0.65918,                0.32751,                 1.2487,                0.32346,                0.27056,                0.95518,              0.0014852,              0.0014852,              0.0014852
                     54,                0.28502,                 1.7214,                0.51222,                0.26215,                0.89685,                0.99924,                      1,                  0.995,                  0.995,                0.99924,                      1,                  0.995,                0.69293,                0.27158,                  1.121,                0.31223,                0.23808,                0.88684,              0.0014753,              0.0014753,              0.0014753
                     55,                0.33198,                 1.8104,                0.51447,                0.26719,                0.89674,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.81734,                 0.2343,                0.92648,                0.31099,                0.22492,                0.86864,              0.0014654,              0.0014654,              0.0014654
                     56,                0.25562,                 1.4537,                0.49691,                0.24717,                0.87942,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.82999,                0.20507,                 0.9134,                0.30115,                0.16653,                0.85965,              0.0014555,              0.0014555,              0.0014555
                     57,                0.32211,                 1.7357,                0.48185,                0.26643,                0.89165,                0.99924,                      1,                  0.995,                  0.995,                0.99924,                      1,                  0.995,                0.78224,                0.16347,                 1.4907,                 0.2932,                0.16372,                0.84276,              0.0014456,              0.0014456,              0.0014456
