                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.06539,                0.94342,                      1,                0.96319,              0.0054955,              0.0054955,              0.0054955
                     93,                0.06652,                0.96181,                      1,                0.95355,               0.005446,               0.005446,               0.005446
                     94,                0.06768,                 0.9604,                      1,                0.94862,              0.0053965,              0.0053965,              0.0053965
                     95,                0.06396,                0.95474,                      1,                0.95168,               0.005347,               0.005347,               0.005347
                     96,                 0.0568,                0.95757,                      1,                0.95037,              0.0052975,              0.0052975,              0.0052975
                     97,                0.05884,                0.95332,                      1,                0.95223,               0.005248,               0.005248,               0.005248
                     98,                0.05125,                0.95757,                      1,                0.94952,              0.0051985,              0.0051985,              0.0051985
                     99,                0.07384,                0.95332,                      1,                0.95211,               0.005149,               0.005149,               0.005149
                    100,                0.06458,                0.94908,                      1,                0.95701,              0.0050995,              0.0050995,              0.0050995
                    101,                0.10532,                0.96181,                      1,                0.94945,                0.00505,                0.00505,                0.00505
                    102,                0.05816,                0.95191,                      1,                0.95438,              0.0050005,              0.0050005,              0.0050005
                    103,                0.05125,                0.95615,                      1,                0.95262,               0.004951,               0.004951,               0.004951
                    104,                  0.054,                 0.9505,                      1,                0.96856,              0.0049015,              0.0049015,              0.0049015
                    105,                0.05806,                0.95615,                      1,                0.96529,               0.004852,               0.004852,               0.004852
                    106,                0.06068,                0.95898,                      1,                 0.9627,              0.0048025,              0.0048025,              0.0048025
                    107,                0.06691,                 0.9505,                      1,                0.95225,               0.004753,               0.004753,               0.004753
                    108,                0.07799,                0.95757,                      1,                0.95198,              0.0047035,              0.0047035,              0.0047035
                    109,                0.05249,                0.95474,                      1,                0.95062,               0.004654,               0.004654,               0.004654
                    110,                0.04971,                0.94908,                      1,                0.95359,              0.0046045,              0.0046045,              0.0046045
                    111,                0.04496,                0.94908,                      1,                0.95529,               0.004555,               0.004555,               0.004555
                    112,                0.04923,                0.95191,                      1,                0.95308,              0.0045055,              0.0045055,              0.0045055
                    113,                0.04786,                0.95615,                      1,                0.95317,               0.004456,               0.004456,               0.004456
                    114,                0.04846,                0.95474,                      1,                0.95136,              0.0044065,              0.0044065,              0.0044065
                    115,                0.04598,                0.95474,                      1,                0.95342,               0.004357,               0.004357,               0.004357
                    116,                0.04999,                0.95191,                      1,                0.95315,              0.0043075,              0.0043075,              0.0043075
                    117,                0.05168,                0.95332,                      1,                0.95015,               0.004258,               0.004258,               0.004258
                    118,                0.05665,                0.95757,                      1,                0.94958,              0.0042085,              0.0042085,              0.0042085
                    119,                 0.0551,                0.95615,                      1,                 0.9503,               0.004159,               0.004159,               0.004159
                    120,                  0.043,                 0.9505,                      1,                0.95247,              0.0041095,              0.0041095,              0.0041095
                    121,                0.03791,                0.94908,                      1,                0.95546,                0.00406,                0.00406,                0.00406
                    122,                0.04477,                0.95474,                      1,                0.95119,              0.0040105,              0.0040105,              0.0040105
                    123,                0.03726,                0.94908,                      1,                0.95465,               0.003961,               0.003961,               0.003961
                    124,                 0.0386,                0.95191,                      1,                0.95223,              0.0039115,              0.0039115,              0.0039115
                    125,                 0.0403,                0.95615,                      1,                0.95302,               0.003862,               0.003862,               0.003862
                    126,                0.04209,                0.95332,                      1,                0.95179,              0.0038125,              0.0038125,              0.0038125
                    127,                0.04659,                0.95474,                      1,                 0.9507,               0.003763,               0.003763,               0.003763
                    128,                0.04311,                0.95615,                      1,                0.94981,              0.0037135,              0.0037135,              0.0037135
                    129,                0.03657,                0.95191,                      1,                 0.9524,               0.003664,               0.003664,               0.003664
                    130,                 0.0384,                0.95615,                      1,                0.96571,              0.0036145,              0.0036145,              0.0036145
                    131,                0.03892,                0.95757,                      1,                0.94954,               0.003565,               0.003565,               0.003565
                    132,                0.04019,                0.95757,                      1,                0.95138,              0.0035155,              0.0035155,              0.0035155
                    133,                0.04598,                0.95191,                      1,                0.96476,               0.003466,               0.003466,               0.003466
                    134,                0.03539,                0.95191,                      1,                0.95325,              0.0034165,              0.0034165,              0.0034165
                    135,                0.03328,                0.94625,                      1,                0.95903,               0.003367,               0.003367,               0.003367
                    136,                0.04098,                0.95332,                      1,                 0.9561,              0.0033175,              0.0033175,              0.0033175
                    137,                0.03709,                0.94908,                      1,                0.95438,               0.003268,               0.003268,               0.003268
                    138,                0.03679,                0.94767,                      1,                0.95584,              0.0032185,              0.0032185,              0.0032185
                    139,                0.03902,                 0.9505,                      1,                0.95523,               0.003169,               0.003169,               0.003169
                    140,                0.04004,                0.94767,                      1,                0.96994,              0.0031195,              0.0031195,              0.0031195
                    141,                0.03681,                0.95191,                      1,                0.95514,                0.00307,                0.00307,                0.00307
                    142,                0.03421,                0.94908,                      1,                 0.9555,              0.0030205,              0.0030205,              0.0030205
                    143,                0.03324,                0.95191,                      1,                0.95529,               0.002971,               0.002971,               0.002971
                    144,                0.02657,                 0.9505,                      1,                0.95457,              0.0029215,              0.0029215,              0.0029215
                    145,                0.02972,                0.95332,                      1,                0.95629,               0.002872,               0.002872,               0.002872
