                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.58726,                0.59509,                0.83435,                      1,                0.96612,                0.97468,                0.81356,                0.68003,                0.56309,                0.82543,              0.0014456,              0.0014456,              0.0014456
                     58,                 0.6141,                0.60347,                 0.8427,                      1,                0.96073,                0.97625,                0.79759,                0.69129,                0.56823,                0.82753,              0.0014357,              0.0014357,              0.0014357
                     59,                0.60011,                0.58355,                0.83352,                      1,                 0.9617,                0.97786,                0.79483,                0.67547,                0.56273,                0.83165,              0.0014258,              0.0014258,              0.0014258
                     60,                0.58586,                0.55458,                0.82496,                0.98543,                0.96667,                0.97864,                0.80969,                0.67882,                 0.5622,                 0.8297,              0.0014159,              0.0014159,              0.0014159
                     61,                0.62278,                0.54951,                0.80672,                0.96661,                0.96667,                0.97864,                0.78951,                0.72657,                0.57792,                0.82495,               0.001406,               0.001406,               0.001406
                     62,                 0.5991,                0.58424,                 0.8533,                0.96657,                0.96667,                0.97906,                0.79467,                0.70559,                0.56286,                 0.8188,              0.0013961,              0.0013961,              0.0013961
                     63,                0.60813,                0.55522,                0.81436,                0.98067,                0.96667,                0.97584,                0.79207,                0.70483,                0.54148,                0.82118,              0.0013862,              0.0013862,              0.0013862
                     64,                 0.6349,                0.57504,                0.82322,                0.98873,                0.96667,                0.97523,                0.77109,                0.75491,                 0.5604,                0.83857,              0.0013763,              0.0013763,              0.0013763
                     65,                0.63061,                0.56382,                0.82083,                0.98883,                0.96667,                0.97669,                0.77575,                0.74519,                0.57929,                0.84597,              0.0013664,              0.0013664,              0.0013664
                     66,                0.59329,                0.56372,                0.81986,                0.98729,                0.96667,                0.97598,                0.77699,                0.69773,                0.55584,                0.84003,              0.0013565,              0.0013565,              0.0013565
                     67,                0.58342,                  0.533,                0.81851,                0.99134,                0.96667,                  0.977,                0.78965,                0.68839,                0.54782,                0.83359,              0.0013466,              0.0013466,              0.0013466
                     68,                0.57255,                0.54947,                0.82871,                0.99288,                0.96667,                0.97786,                0.79063,                0.68244,                0.52835,                 0.8268,              0.0013367,              0.0013367,              0.0013367
                     69,                0.64077,                0.56678,                0.83024,                0.99001,                0.96667,                0.97654,                0.76699,                0.71759,                0.52553,                0.83195,              0.0013268,              0.0013268,              0.0013268
                     70,                0.63497,                 0.5552,                0.84014,                0.99512,                0.96667,                0.97318,                0.78305,                0.71313,                0.53821,                0.83304,              0.0013169,              0.0013169,              0.0013169
